"decimalLongitude","decimalLatitude","species"
3522156.69636392,3753449.72748463,"Campanula latifolia"
3513338.99846662,3761034.81918799,"Campanula latifolia"
3521814.0989458,3751474.79239236,"Campanula latifolia"
3536969.68125225,3757047.56531943,"Campanula latifolia"
3530464.11467184,3766275.99466474,"Campanula latifolia"
3475142.01147538,3736468.52185889,"Campanula latifolia"
3533716.80008598,3761661.86816235,"Campanula latifolia"
3523870.4297059,3763323.64191652,"Campanula latifolia"
3486715.20016605,3759423.09755063,"Campanula latifolia"
3511626.06644586,3751160.26486145,"Campanula latifolia"
3518991.70431863,3770244.49176712,"Campanula latifolia"
3532345.55427968,3753763.01640459,"Campanula latifolia"
3507431.83995341,3762030.76026561,"Campanula latifolia"
3576871.41380866,3624296.84488689,"Campanula latifolia"
3589096.57975139,3636460.82498227,"Campanula latifolia"
3590658.32002938,3621971.01791633,"Campanula latifolia"
3562270.5735017,3623354.1221207,"Campanula latifolia"
3585701.08710862,3616710.27248605,"Campanula latifolia"
3580810.41946233,3623632.42587355,"Campanula latifolia"
3572593.00075028,3622985.92250123,"Campanula latifolia"
